Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )
Q8TDF5	NETO1_HUMAN	reviewed	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)	Homo sapiens (Human)	533	NETO1
O96009	NAPSA_HUMAN	reviewed	Napsin-A (EC 3.4.23.-) (Aspartyl protease 4) (ASP4) (Asp 4) (Napsin-1) (TA01/TA02)	Homo sapiens (Human)	420	NAPSA
Q8TB73	NDNF_HUMAN	reviewed	Protein NDNF (Neuron-derived neurotrophic factor)	Homo sapiens (Human)	568	NDNF
Q96P20	NLRP3_HUMAN	reviewed	NACHT, LRR and PYD domains-containing protein 3 (Angiotensin/vasopressin receptor AII/AVP-like) (Caterpiller protein 1.1) (CLR1.1) (Cold-induced autoinflammatory syndrome 1 protein) (Cryopyrin) (PYRIN-containing APAF1-like protein 1)	Homo sapiens (Human)	1036	NLRP3
P13591	NCAM1_HUMAN	reviewed	Neural cell adhesion molecule 1 (N-CAM-1) (NCAM-1) (CD antigen CD56)	Homo sapiens (Human)	858	NCAM1
Q96L15	NAR5_HUMAN	reviewed	Ecto-ADP-ribosyltransferase 5 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 5) (ARTC5) (Mono(ADP-ribosyl)transferase 5) (NAD(P)(+)--arginine ADP-ribosyltransferase 5)	Homo sapiens (Human)	291	ART5
P01178	NEU1_HUMAN	reviewed	Oxytocin-neurophysin 1 (OT-NPI) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1]	Homo sapiens (Human)	125	OXT
Q15223	NECT1_HUMAN	reviewed	Nectin-1 (Herpes virus entry mediator C) (Herpesvirus entry mediator C) (HveC) (Herpesvirus Ig-like receptor) (HIgR) (Nectin cell adhesion molecule 1) (Poliovirus receptor-related protein 1) (CD antigen CD111)	Homo sapiens (Human)	517	NECTIN1
Q99435	NELL2_HUMAN	reviewed	Protein kinase C-binding protein NELL2 (NEL-like protein 2) (Nel-related protein 2)	Homo sapiens (Human)	816	NELL2
Q92832	NELL1_HUMAN	reviewed	Protein kinase C-binding protein NELL1 (NEL-like protein 1) (Nel-related protein 1)	Homo sapiens (Human)	810	NELL1
Q9NPE2	NGRN_HUMAN	reviewed	Neugrin (Mesenchymal stem cell protein DSC92) (Neurite outgrowth-associated protein) (Spinal cord-derived protein FI58G)	Homo sapiens (Human)	291	NGRN
O95631	NET1_HUMAN	reviewed	Netrin-1 (Epididymis tissue protein Li 131P)	Homo sapiens (Human)	604	NTN1
Q8WTR8	NET5_HUMAN	reviewed	Netrin-5 (Netrin-1-like protein)	Homo sapiens (Human)	489	NTN5
P56730	NETR_HUMAN	reviewed	Neurotrypsin (EC 3.4.21.-) (Leydin) (Motopsin) (Serine protease 12)	Homo sapiens (Human)	875	PRSS12
P01185	NEU2_HUMAN	reviewed	Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin]	Homo sapiens (Human)	164	AVP
Q8WUJ1	NEUFC_HUMAN	reviewed	Neuferricin (Cytochrome b5 domain-containing protein 2)	Homo sapiens (Human)	264	CYB5D2
Q00604	NDP_HUMAN	reviewed	Norrin (Norrie disease protein) (X-linked exudative vitreoretinopathy 2 protein)	Homo sapiens (Human)	133	NDP
Q96NY8	NECT4_HUMAN	reviewed	Nectin-4 (Ig superfamily receptor LNIR) (Nectin cell adhesion molecule 4) (Poliovirus receptor-related protein 4) [Cleaved into: Processed poliovirus receptor-related protein 4]	Homo sapiens (Human)	510	NECTIN4
Q9UMX5	NENF_HUMAN	reviewed	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	Homo sapiens (Human)	172	NENF
P80188	NGAL_HUMAN	reviewed	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin LCN2) (p25)	Homo sapiens (Human)	198	LCN2
Q5JS37	NHLC3_HUMAN	reviewed	NHL repeat-containing protein 3	Homo sapiens (Human)	347	NHLRC3
A6NHN6	NPB15_HUMAN	reviewed	Nuclear pore complex-interacting protein family member B15 (Nuclear pore complex-interacting protein-like 2)	Homo sapiens (Human)	443	NPIPB15
P47972	NPTX2_HUMAN	reviewed	Neuronal pentraxin-2 (NP2) (Neuronal pentraxin II) (NP-II)	Homo sapiens (Human)	431	NPTX2
P01303	NPY_HUMAN	reviewed	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]	Homo sapiens (Human)	97	NPY
P14543	NID1_HUMAN	reviewed	Nidogen-1 (NID-1) (Entactin)	Homo sapiens (Human)	1247	NID1
Q14112	NID2_HUMAN	reviewed	Nidogen-2 (NID-2) (Osteonidogen)	Homo sapiens (Human)	1375	NID2
P08949	NMB_HUMAN	reviewed	Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B]	Homo sapiens (Human)	121	NMB
P48745	NOV_HUMAN	reviewed	Protein NOV homolog (NovH) (CCN family member 3) (Insulin-like growth factor-binding protein 9) (IBP-9) (IGF-binding protein 9) (IGFBP-9) (Nephroblastoma-overexpressed gene protein homolog)	Homo sapiens (Human)	357	NOV
Q99748	NRTN_HUMAN	reviewed	Neurturin	Homo sapiens (Human)	197	NRTN
O00634	NET3_HUMAN	reviewed	Netrin-3 (Netrin-2-like protein)	Homo sapiens (Human)	580	NTN3
Q99574	NEUS_HUMAN	reviewed	Neuroserpin (Peptidase inhibitor 12) (PI-12) (Serpin I1)	Homo sapiens (Human)	410	SERPINI1
P30990	NEUT_HUMAN	reviewed	Neurotensin/neuromedin N [Cleaved into: Large neuromedin N (NmN-125); Neuromedin N (NN) (NmN); Neurotensin (NT); Tail peptide]	Homo sapiens (Human)	170	NTS
Q5H8A3	NMS_HUMAN	reviewed	Neuromedin-S	Homo sapiens (Human)	153	NMS
P48645	NMU_HUMAN	reviewed	Neuromedin-U [Cleaved into: Neuromedin-U-25 (NmU-25)]	Homo sapiens (Human)	174	NMU
Q13253	NOGG_HUMAN	reviewed	Noggin	Homo sapiens (Human)	232	NOG
O00533	NCHL1_HUMAN	reviewed	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	Homo sapiens (Human)	1208	CHL1
P01138	NGF_HUMAN	reviewed	Beta-nerve growth factor (Beta-NGF)	Homo sapiens (Human)	241	NGF
Q8NCW5	NNRE_HUMAN	reviewed	NAD(P)H-hydrate epimerase (EC 5.1.99.6) (Apolipoprotein A-I-binding protein) (AI-BP) (NAD(P)HX epimerase) (YjeF N-terminal domain-containing protein 1) (YjeF_N1)	Homo sapiens (Human)	288	NAXE
Q6UXI9	NPNT_HUMAN	reviewed	Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like)	Homo sapiens (Human)	565	NPNT
P0C0P6	NPS_HUMAN	reviewed	Neuropeptide S	Homo sapiens (Human)	89	NPS
Q9BT67	NFIP1_HUMAN	reviewed	NEDD4 family-interacting protein 1 (Breast cancer-associated protein SGA-1M) (NEDD4 WW domain-binding protein 5) (Putative MAPK-activating protein PM13) (Putative NF-kappa-B-activating protein 164) (Putative NFKB and MAPK-activating protein)	Homo sapiens (Human)	221	NDFIP1
Q96S42	NODAL_HUMAN	reviewed	Nodal homolog	Homo sapiens (Human)	347	NODAL
O95897	NOE2_HUMAN	reviewed	Noelin-2 (Olfactomedin-2)	Homo sapiens (Human)	454	OLFM2
Q6P988	NOTUM_HUMAN	reviewed	Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98) (hNOTUM)	Homo sapiens (Human)	496	NOTUM
Q8N729	NPW_HUMAN	reviewed	Neuropeptide W (Preproprotein L8) (hPPL8) [Cleaved into: Neuropeptide W-23 (NPW23) (hL8); Neuropeptide W-30 (NPW30) (hL8C)]	Homo sapiens (Human)	165	NPW
Q92823	NRCAM_HUMAN	reviewed	Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)	Homo sapiens (Human)	1304	NRCAM
Q02818	NUCB1_HUMAN	reviewed	Nucleobindin-1 (CALNUC)	Homo sapiens (Human)	461	NUCB1
O14511	NRG2_HUMAN	reviewed	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	Homo sapiens (Human)	850	NRG2
P56975	NRG3_HUMAN	reviewed	Pro-neuregulin-3, membrane-bound isoform (Pro-NRG3) [Cleaved into: Neuregulin-3 (NRG-3)]	Homo sapiens (Human)	720	NRG3
Q9GZU5	NYX_HUMAN	reviewed	Nyctalopin	Homo sapiens (Human)	481	NYX
P34130	NTF4_HUMAN	reviewed	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)	Homo sapiens (Human)	210	NTF4
P58417	NXPH1_HUMAN	reviewed	Neurexophilin-1	Homo sapiens (Human)	271	NXPH1
O95156	NXPH2_HUMAN	reviewed	Neurexophilin-2	Homo sapiens (Human)	264	NXPH2
O95158	NXPH4_HUMAN	reviewed	Neurexophilin-4	Homo sapiens (Human)	308	NXPH4
Q8NG41	NPB_HUMAN	reviewed	Neuropeptide B (Preproprotein L7) (hPPL7) [Cleaved into: Neuropeptide B-23 (NPB23) (hL7); Neuropeptide B-29 (NPB29) (hL7C)]	Homo sapiens (Human)	125	NPB
Q9HCQ7	NPVF_HUMAN	reviewed	Pro-FMRFamide-related neuropeptide VF [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide RFRP-2; Neuropeptide NPVF (Neuropeptide RFRP-3)]	Homo sapiens (Human)	196	NPVF
Q99784	NOE1_HUMAN	reviewed	Noelin (Neuronal olfactomedin-related ER localized protein) (Olfactomedin-1)	Homo sapiens (Human)	485	OLFM1
Q96PB7	NOE3_HUMAN	reviewed	Noelin-3 (Olfactomedin-3) (Optimedin)	Homo sapiens (Human)	478	OLFM3
P61916	NPC2_HUMAN	reviewed	Epididymal secretory protein E1 (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	Homo sapiens (Human)	151	NPC2
O75200	NPIB7_HUMAN	reviewed	Nuclear pore complex-interacting protein family member B7 (Nuclear pore complex-interacting protein-like 1)	Homo sapiens (Human)	414	NPIPB7
Q02297	NRG1_HUMAN	reviewed	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	Homo sapiens (Human)	640	NRG1
O14786	NRP1_HUMAN	reviewed	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	Homo sapiens (Human)	923	NRP1
P20783	NTF3_HUMAN	reviewed	Neurotrophin-3 (NT-3) (HDNF) (Nerve growth factor 2) (NGF-2) (Neurotrophic factor)	Homo sapiens (Human)	257	NTF3
Q8WWG1	NRG4_HUMAN	reviewed	Pro-neuregulin-4, membrane-bound isoform (Pro-NRG4) [Cleaved into: Neuregulin-4 (NRG-4)]	Homo sapiens (Human)	115	NRG4
Q7Z3S9	NT2NL_HUMAN	reviewed	Notch homolog 2 N-terminal-like protein	Homo sapiens (Human)	236	NOTCH2NL
O15130	NPFF_HUMAN	reviewed	Pro-FMRFamide-related neuropeptide FF (FMRFamide-related peptides) [Cleaved into: Neuropeptide SF (NPSF); Neuropeptide FF (NPFF); Neuropeptide AF (NPAF)]	Homo sapiens (Human)	113	NPFF
A8MZH6	OOSP1_HUMAN	reviewed	Putative oocyte-secreted protein 1 homolog	Homo sapiens (Human)	123	OOSP1
Q9UBM4	OPT_HUMAN	reviewed	Opticin (Oculoglycan)	Homo sapiens (Human)	332	OPTC
Q8N323	NXPE1_HUMAN	reviewed	NXPE family member 1 (Protein FAM55A)	Homo sapiens (Human)	547	NXPE1
P80303	NUCB2_HUMAN	reviewed	Nucleobindin-2 (DNA-binding protein NEFA) (Gastric cancer antigen Zg4) (Prepronesfatin) [Cleaved into: Nesfatin-1]	Homo sapiens (Human)	420	NUCB2
Q6UWF7	NXPE4_HUMAN	reviewed	NXPE family member 4 (Protein FAM55D)	Homo sapiens (Human)	544	NXPE4
O95157	NXPH3_HUMAN	reviewed	Neurexophilin-3	Homo sapiens (Human)	252	NXPH3
P00973	OAS1_HUMAN	reviewed	2'-5'-oligoadenylate synthase 1 ((2-5')oligo(A) synthase 1) (2-5A synthase 1) (EC 2.7.7.84) (E18/E16) (p46/p42 OAS)	Homo sapiens (Human)	400	OAS1
Q9NY56	OBP2A_HUMAN	reviewed	Odorant-binding protein 2a (Odorant-binding protein IIa) (OBPIIa)	Homo sapiens (Human)	170	OBP2A
Q6UWY5	OLFL1_HUMAN	reviewed	Olfactomedin-like protein 1	Homo sapiens (Human)	402	OLFML1
O60462	NRP2_HUMAN	reviewed	Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2)	Homo sapiens (Human)	931	NRP2
Q02509	OC90_HUMAN	reviewed	Otoconin-90 (Oc90) (Phospholipase A2 homolog)	Homo sapiens (Human)	493	OC90
Q86WS3	OOSP2_HUMAN	reviewed	Oocyte-secreted protein 2 (Placenta-specific 1-like protein) (Protein TMEM122)	Homo sapiens (Human)	158	OOSP2
Q8IYS5	OSCAR_HUMAN	reviewed	Osteoclast-associated immunoglobulin-like receptor (Osteoclast-associated receptor) (hOSCAR) (Polymeric immunoglobulin receptor 3) (PIgR-3) (PIgR3) (Poly-Ig receptor 3)	Homo sapiens (Human)	282	OSCAR
P61366	OSTN_HUMAN	reviewed	Osteocrin (Musclin)	Homo sapiens (Human)	133	OSTN
A6NHN0	OTOL1_HUMAN	reviewed	Otolin-1	Homo sapiens (Human)	477	OTOL1
Q7RTM1	OTOP1_HUMAN	reviewed	Otopetrin-1	Homo sapiens (Human)	612	OTOP1
Q8NHW6	OTOSP_HUMAN	reviewed	Otospiralin	Homo sapiens (Human)	89	OTOS
Q969Y0	NXPE3_HUMAN	reviewed	NXPE family member 3 (Protein FAM55C)	Homo sapiens (Human)	559	NXPE3
Q7RTW8	OTOAN_HUMAN	reviewed	Otoancorin	Homo sapiens (Human)	1153	OTOA
Q9NRC9	OTOR_HUMAN	reviewed	Otoraplin (Fibrocyte-derived protein) (Melanoma inhibitory activity-like protein)	Homo sapiens (Human)	128	OTOR
Q7RTY7	OVCH1_HUMAN	reviewed	Ovochymase-1 (EC 3.4.21.-)	Homo sapiens (Human)	1134	OVCH1
Q6IE37	OVOS1_HUMAN	reviewed	Ovostatin homolog 1	Homo sapiens (Human)	1185	OVOS1
Q9BZM2	PA2GF_HUMAN	reviewed	Group IIF secretory phospholipase A2 (GIIF sPLA2) (sPLA2-IIF) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2F)	Homo sapiens (Human)	168	PLA2G2F
Q6UX06	OLFM4_HUMAN	reviewed	Olfactomedin-4 (OLM4) (Antiapoptotic protein GW112) (G-CSF-stimulated clone 1 protein) (hGC-1) (hOLfD)	Homo sapiens (Human)	510	OLFM4
P83859	OX26_HUMAN	reviewed	Orexigenic neuropeptide QRFP (P518) [Cleaved into: QRF-amide (Neuropeptide RF-amide) (Pyroglutamylated arginine-phenylalanine-amide peptide)]	Homo sapiens (Human)	136	QRFP
P04054	PA21B_HUMAN	reviewed	Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)	Homo sapiens (Human)	148	PLA2G1B
P09466	PAEP_HUMAN	reviewed	Glycodelin (GD) (Placental protein 14) (PP14) (Pregnancy-associated endometrial alpha-2 globulin) (PAEG) (PEG) (Progestagen-associated endometrial protein) (Progesterone-associated endometrial protein)	Homo sapiens (Human)	180	PAEP
Q13093	PAFA_HUMAN	reviewed	Platelet-activating factor acetylhydrolase (PAF acetylhydrolase) (EC 3.1.1.47) (1-alkyl-2-acetylglycerophosphocholine esterase) (2-acetyl-1-alkylglycerophosphocholine esterase) (Group-VIIA phospholipase A2) (gVIIA-PLA2) (LDL-associated phospholipase A2) (LDL-PLA(2)) (PAF 2-acylhydrolase)	Homo sapiens (Human)	441	PLA2G7
Q9NRN5	OLFL3_HUMAN	reviewed	Olfactomedin-like protein 3 (HNOEL-iso) (hOLF44)	Homo sapiens (Human)	406	OLFML3
Q68BL7	OLM2A_HUMAN	reviewed	Olfactomedin-like protein 2A (Photomedin-1)	Homo sapiens (Human)	652	OLFML2A
P13725	ONCM_HUMAN	reviewed	Oncostatin-M (OSM)	Homo sapiens (Human)	252	OSM
Q9NPH6	OBP2B_HUMAN	reviewed	Odorant-binding protein 2b (Odorant-binding protein IIb) (OBPIIb)	Homo sapiens (Human)	170	OBP2B
Q68BL8	OLM2B_HUMAN	reviewed	Olfactomedin-like protein 2B (Photomedin-2)	Homo sapiens (Human)	750	OLFML2B
P78380	OLR1_HUMAN	reviewed	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	Homo sapiens (Human)	273	OLR1
Q99983	OMD_HUMAN	reviewed	Osteomodulin (Keratan sulfate proteoglycan osteomodulin) (KSPG osteomodulin) (Osteoadherin) (OSAD)	Homo sapiens (Human)	421	OMD
Q6ZRI0	OTOG_HUMAN	reviewed	Otogelin	Homo sapiens (Human)	2925	OTOG
Q9BSG0	PADC1_HUMAN	reviewed	Protease-associated domain-containing protein 1 (Protease-associated domain-containing protein of 21 kDa) (hPAP21)	Homo sapiens (Human)	188	PRADC1
Q32P28	P3H1_HUMAN	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	Homo sapiens (Human)	736	P3H1
Q9UNK4	PA2GD_HUMAN	reviewed	Group IID secretory phospholipase A2 (GIID sPLA2) (sPLA2-IID) (EC 3.1.1.4) (PLA2IID) (Phosphatidylcholine 2-acylhydrolase 2D) (Secretory-type PLA, stroma-associated homolog)	Homo sapiens (Human)	145	PLA2G2D
E2RYF7	PBMU2_HUMAN	reviewed	Protein PBMUCL2 (HLA complex group 22) (Panbronchiolitis-related mucin-like protein 2)	Homo sapiens (Human)	251	HCG22
P14555	PA2GA_HUMAN	reviewed	Phospholipase A2, membrane associated (EC 3.1.1.4) (GIIC sPLA2) (Group IIA phospholipase A2) (Non-pancreatic secretory phospholipase A2) (NPS-PLA2) (Phosphatidylcholine 2-acylhydrolase 2A)	Homo sapiens (Human)	144	PLA2G2A
Q9NZK7	PA2GE_HUMAN	reviewed	Group IIE secretory phospholipase A2 (GIIE sPLA2) (sPLA2-IIE) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 2E)	Homo sapiens (Human)	142	PLA2G2E
Q6UY27	PATE2_HUMAN	reviewed	Prostate and testis expressed protein 2 (PATE-like protein M) (PATE-M)	Homo sapiens (Human)	113	PATE2
A1E959	ODAM_HUMAN	reviewed	Odontogenic ameloblast-associated protein (Apin)	Homo sapiens (Human)	279	ODAM
Q9BXP8	PAPP2_HUMAN	reviewed	Pappalysin-2 (EC 3.4.24.-) (Pregnancy-associated plasma protein A2) (PAPP-A2) (Pregnancy-associated plasma protein E1) (PAPP-E)	Homo sapiens (Human)	1791	PAPPA2
Q3ZCN5	OTOGL_HUMAN	reviewed	Otogelin-like protein	Homo sapiens (Human)	2332	OTOGL
P39877	PA2G5_HUMAN	reviewed	Calcium-dependent phospholipase A2 (EC 3.1.1.4) (Group V phospholipase A2) (PLA2-10) (Phosphatidylcholine 2-acylhydrolase 5)	Homo sapiens (Human)	138	PLA2G5
